authors,average_rating,language_code,# num_pages,ratings_count,text_reviews_count
J.K. Rowling,4.41,eng,352.0,6267.0,272.0
W. Frederick Zimmerman,3.69,en-US,152.0,18.0,1.0
Douglas Adams,4.22,eng,215.0,4416.0,408.0
Douglas Adams-Stephen Fry,4.22,eng,6.0,1222.0,253.0
Bill Bryson,3.43,eng,55.0,6993.0,470.0
Bill Bryson,3.88,eng,256.0,2020.0,124.0
Jude Fisher,4.5,eng,224.0,343.0,6.0
James Hamilton-Paterson,3.61,eng,288.0,1214.0,202.0
Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,3.89,eng,558.0,1269.0,59.0
Donna Ickes-Edward Sciranko-Keith Vasconcelles,3.97,eng,48.0,35.0,2.0
Gary Paulsen,3.87,eng,144.0,1996.0,326.0
Molly Hatchet,4.33,eng,56.0,6.0,533.6321277526615
Dale Peck,3.48,en-US,228.0,99.0,16.0
Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,3.75,eng,304.0,167.0,4.0
Delia Sherman,3.6,eng,256.0,957.0,112.0
Patricia A. McKillip,4.07,eng,137.0,4319.0,289.0
Zilpha Keatley Snyder,4.17,eng,228.0,1155.0,92.0
Kate Horsley,3.56,eng,339.0,295.0,42.0
Philippa Carr,3.99,eng,369.0,341.0,12.0
Edward P. Jones-Kevin R. Free,3.83,en-US,14.0,50.0,12.0
Edward P. Jones,3.83,eng,576.0,22.0,3.0
Satyajit Das,3.83,eng,334.0,1398.0,78.0
Mark Smylie,4.16,eng,352.0,50.0,4.0
Edward P. Jones,3.83,eng,388.0,15.0,2.0
John McPhee-William Howarth,4.43,eng,416.0,550.0,36.0
John McPhee,3.95,en-US,248.0,1561.0,192.0
John McPhee,4.15,eng,128.0,253.0,18.0
John McPhee,4.24,en-US,288.0,3365.0,290.0
John McPhee,4.33,eng,720.0,2966.0,211.0
John McPhee,4.22,eng,448.0,5452.0,245.0
John McPhee,3.91,eng,160.0,671.0,52.0
John McPhee,4.22,eng,288.0,533.0,34.0
John McPhee,4.22,eng,208.0,1263.0,91.0
Wendy Wasserstein,3.73,eng,81.0,1348.0,69.0
Wendy Wasserstein,3.83,eng,249.0,2732.0,63.0
Heidi Hayes Jacobs,3.94,eng,138.0,31.0,1.0
Heidi Boyd,3.75,en-US,128.0,61.0,4.0
Heidi Baker-Rolland Baker,4.45,eng,192.0,822.0,53.0
Heidi Hayes Jacobs,3.7,en-US,72.0,71.0,2.0
Heidi Hayes Jacobs,3.28,eng,192.0,53.0,5.0
Rolland Baker-Heidi Baker,4.45,eng,192.0,34.0,6.0
Heidi Fleiss-Libby Keatinge,3.82,eng,123.0,34.0,8.0
Heidi Boyd,3.75,en-US,128.0,75.0,4.0
Frank Herbert,3.83,eng,423.0,2692.0,168.0
Brian Herbert,4.0,en-US,592.0,755.0,21.0
Frank Herbert,3.85,eng,480.0,261.0,18.0
Frank Herbert-Brian Herbert-Kevin J. Anderson,3.87,eng,426.0,4561.0,76.0
Bryce Courtenay,4.35,eng,291.0,44.0,12.0
John C. Maxwell-Stephen R. Graves-Thomas G. Addington,4.28,en-US,256.0,16.0,1.0
Dave Lakhani,3.31,eng,205.0,163.0,16.0
Louis E. Catron,3.79,eng,240.0,10.0,533.6321277526615
Adam Ginsberg,3.49,eng,336.0,73.0,9.0
Marsha Collier,3.5,eng,386.0,102.0,9.0
Chris Malta-Lisa Suttora,3.62,eng,260.0,24.0,533.6321277526615
Marsha Collier,3.52,eng,384.0,51.0,4.0
Julia Wilkinson,4.27,eng,260.0,9.0,533.6321277526615
Marsha Collier,3.55,en-US,391.0,19.0,1.0
Ruby Ann Boxcar,4.09,eng,240.0,47.0,5.0
Ruby Ann Boxcar,4.08,eng,206.0,12.0,2.0
Rob Orsini,3.65,eng,514.0,49.0,1.0
Marianne Sturman-Leo Tolstoy,3.89,eng,80.0,15.0,3.0
Leo Tolstoy-Louise Maude-Aylmer Maude,4.04,eng,752.0,460.0,71.0
Anthony Thorlby,4.19,eng,128.0,1191.0,32.0
Mulk Raj Anand-E.M. Forster,3.7,eng,160.0,3168.0,250.0
John Banville,3.96,eng,367.0,2077.0,209.0
Eliot Ness-Oscar Fraley,3.89,eng,256.0,587.0,29.0
Narendra Jadhav,3.82,en-US,320.0,299.0,39.0
